id,word,translation_vi,topic,certificate,emoji,emoji_name,emoji_evaluation,image_url
"fl-bd-006","heel","gót chân","body","flyers","🦶","foot","⚠️ Cần xem lại (Tên emoji: foot)",""
"fl-bd-007","hip","hông","body","flyers","🕺","man_dancing","⚠️ Cần xem lại (Tên emoji: man dancing)",""
"fl-bd-008","knee","đầu gối","body","flyers","🦵","leg","⚠️ Cần xem lại (Tên emoji: leg)",""
"fl-bd-009","shoulder","vai","body","flyers","🤷","woman_shrugging","❌ (Hình người nhún vai)",""
"fl-bd-010","stomach","dạ dày","body","flyers","🫃","","❌ (Hình người đàn ông mang thai)",""
"fl-bd-011","thumb","ngón tay cái","body","flyers","👍","+1","⚠️ Cần xem lại (Tên emoji: +1)",""
"fl-bd-012","wrist","cổ tay","body","flyers","⌚","watch","⚠️ Cần xem lại (Tên emoji: watch)",""
"fl-cl-001","belt","thắt lưng","clothes","flyers","🥋","martial_arts_uniform","❌ (Hình võ phục)",""
"fl-cl-002","bracelet","vòng tay","clothes","flyers","📿","prayer_beads","⚠️ Cần xem lại (Tên emoji: prayer beads)",""
"fl-cl-003","costume","trang phục hóa trang","clothes","flyers","🧛","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-cl-004","crown","vương miện","clothes","flyers","👑","crown","✅",""
"fl-cl-005","glove","găng tay","clothes","flyers","🧤","gloves","✅",""
"fl-cl-006","necklace","vòng cổ","clothes","flyers","📿","prayer_beads","⚠️ Cần xem lại (Tên emoji: prayer beads)",""
"fl-cl-007","pajamas","đồ ngủ (US)","clothes","flyers","👘","kimono","❌ (Hình áo kimono)",""
"fl-cl-008","pyjamas","đồ ngủ (UK)","clothes","flyers","👘","kimono","❌ (Hình áo kimono)",""
"fl-cl-009","pocket","túi quần/áo","clothes","flyers","👖","jeans","⚠️ Cần xem lại (Tên emoji: jeans)",""
"fl-cl-010","ring","chiếc nhẫn","clothes","flyers","💍","ring","✅",""
"fl-cl-011","sunglasses","kính râm","clothes","flyers","🕶️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-cl-012","trainers","giày thể thao","clothes","flyers","👟","athletic_shoe","⚠️ Cần xem lại (Tên emoji: athletic shoe)",""
"fl-fd-001","biscuit","bánh quy (UK)","food_drink","flyers","🍪","cookie","⚠️ Cần xem lại (Tên emoji: cookie)",""
"fl-fd-002","butter","bơ","food_drink","flyers","🧈","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-fd-003","cereal","ngũ cốc","food_drink","flyers","🥣","bowl_with_spoon","⚠️ Cần xem lại (Tên emoji: bowl with spoon)",""
"fl-fd-004","chopsticks","đôi đũa","food_drink","flyers","🥢","chopsticks","✅",""
"fl-fd-005","cookie","bánh quy (US)","food_drink","flyers","🍪","cookie","✅",""
"fl-fd-006","flour","bột mì","food_drink","flyers","🌾","ear_of_rice","⚠️ Cần xem lại (Tên emoji: ear of rice)",""
"fl-fd-007","fork","cái nĩa","food_drink","flyers","🍴","fork_and_knife","✅",""
"fl-fd-008","honey","mật ong","food_drink","flyers","🍯","honey_pot","✅",""
"fl-fd-009","jam","mứt","food_drink","flyers","🍓","strawberry","⚠️ Cần xem lại (Tên emoji: strawberry)",""
"fl-fd-010","knife","con dao","food_drink","flyers","🔪","hocho","⚠️ Cần xem lại (Tên emoji: hocho)",""
"fl-fd-011","meal","bữa ăn","food_drink","flyers","🍽️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-fd-012","olives","quả ô-liu","food_drink","flyers","🫒","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-fd-013","pepper","hạt tiêu","food_drink","flyers","🧂","salt","⚠️ Cần xem lại (Tên emoji: salt)",""
"fl-fd-014","piece","mẩu, miếng","food_drink","flyers","🍰","cake","⚠️ Cần xem lại (Tên emoji: cake)",""
"fl-fd-015","pizza","bánh pizza","food_drink","flyers","🍕","pizza","✅",""
"fl-fd-016","salt","muối","food_drink","flyers","🧂","salt","✅",""
"fl-fd-017","smell","ngửi / mùi hương","food_drink","flyers","👃","nose","⚠️ Cần xem lại (Tên emoji: nose)",""
"fl-fd-018","snack","món ăn nhẹ","food_drink","flyers","🥨","pretzel","⚠️ Cần xem lại (Tên emoji: pretzel)",""
"fl-fd-019","spoon","cái thìa","food_drink","flyers","🥄","spoon","✅",""
"fl-fd-020","strawberry","quả dâu tây","food_drink","flyers","🍓","strawberry","✅",""
"fl-hl-001","bandage","băng gạc","health","flyers","🩹","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-hl-002","chemist","hiệu thuốc / dược sĩ","health","flyers","💊","pill","⚠️ Cần xem lại (Tên emoji: pill)",""
"fl-hl-003","cut","vết cắt","health","flyers","✂️","scissors","⚠️ Cần xem lại (Tên emoji: scissors)",""
"fl-hl-004","fall over","ngã lộn nhào","health","flyers","🤸","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-hl-005","medicine","thuốc","health","flyers","💊","pill","⚠️ Cần xem lại (Tên emoji: pill)",""
"fl-hl-006","x-ray","chụp X-quang","health","flyers","🩻","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-nt-001","bridge","cây cầu","nature","flyers","🌉","bridge_at_night","✅",""
"fl-nt-002","cave","hang động","nature","flyers","🦇","bat","⚠️ Cần xem lại (Tên emoji: bat)",""
"fl-nt-003","cliff","vách đá","nature","flyers","🏔️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-nt-004","coast","bờ biển","nature","flyers","🏖️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-nt-005","desert","sa mạc","nature","flyers","🏜️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-nt-006","environment","môi trường","nature","flyers","🌍","earth_africa","⚠️ Cần xem lại (Tên emoji: earth africa)",""
"fl-nt-007","field","cánh đồng","nature","flyers","🌾","ear_of_rice","⚠️ Cần xem lại (Tên emoji: ear of rice)",""
"fl-nt-008","forest","rừng","nature","flyers","🌲","evergreen_tree","⚠️ Cần xem lại (Tên emoji: evergreen tree)",""
"fl-nt-009","island","hòn đảo","nature","flyers","🏝️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-nt-010","jungle","rừng nhiệt đới","nature","flyers","🌿","herb","⚠️ Cần xem lại (Tên emoji: herb)",""
"fl-nt-011","lake","hồ nước","nature","flyers","🏞️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-nt-012","ocean","đại dương","nature","flyers","🌊","ocean","✅",""
"fl-nt-013","path","con đường mòn","nature","flyers","🛤️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-nt-014","pond","ao","nature","flyers","🐸","frog","⚠️ Cần xem lại (Tên emoji: frog)",""
"fl-nt-015","rock","tảng đá","nature","flyers","🪨","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-nt-016","sand","cát","nature","flyers","🏖️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-nt-017","stream","con suối","nature","flyers","💧","droplet","⚠️ Cần xem lại (Tên emoji: droplet)",""
"fl-nt-018","valley","thung lũng","nature","flyers","🏔️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-nt-019","waterfall","thác nước","nature","flyers","💧","droplet","⚠️ Cần xem lại (Tên emoji: droplet)",""
"fl-nt-020","wing","cánh","nature","flyers","🪶","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-pf-001","angry","tức giận","feelings","flyers","😠","angry","✅",""
"fl-pf-002","bored","chán nản","feelings","flyers","😑","expressionless","⚠️ Cần xem lại (Tên emoji: expressionless)",""
"fl-pf-003","brave","dũng cảm","feelings","flyers","🦁","lion","⚠️ Cần xem lại (Tên emoji: lion)",""
"fl-pf-004","careful","cẩn thận","feelings","flyers","⚠️","warning","⚠️ Cần xem lại (Tên emoji: warning)",""
"fl-pf-005","clever","thông minh","feelings","flyers","🧠","brain","⚠️ Cần xem lại (Tên emoji: brain)",""
"fl-pf-006","confident","tự tin","feelings","flyers","😎","sunglasses","⚠️ Cần xem lại (Tên emoji: sunglasses)",""
"fl-pf-007","disappointed","thất vọng","feelings","flyers","😞","disappointed","✅",""
"fl-pf-008","embarrassed","ngượng ngùng","feelings","flyers","😳","flushed","⚠️ Cần xem lại (Tên emoji: flushed)",""
"fl-pf-009","excited","hào hứng","feelings","flyers","🤩","star_struck","⚠️ Cần xem lại (Tên emoji: star struck)",""
"fl-pf-010","frightened","hoảng sợ","feelings","flyers","😨","fearful","⚠️ Cần xem lại (Tên emoji: fearful)",""
"fl-pf-011","generous","hào phóng","feelings","flyers","🎁","gift","⚠️ Cần xem lại (Tên emoji: gift)",""
"fl-pf-012","jealous","ghen tị","feelings","flyers","😒","unamused","⚠️ Cần xem lại (Tên emoji: unamused)",""
"fl-pf-013","kind","tốt bụng","feelings","flyers","🤗","hugs","⚠️ Cần xem lại (Tên emoji: hugs)",""
"fl-pf-014","lonely","cô đơn","feelings","flyers","🥺","pleading","⚠️ Cần xem lại (Tên emoji: pleading)",""
"fl-pf-015","nervous","lo lắng / hồi hộp","feelings","flyers","😬","grimacing","⚠️ Cần xem lại (Tên emoji: grimacing)",""
"fl-pf-016","patient","kiên nhẫn","feelings","flyers","🏥","hospital","⚠️ Cần xem lại (Tên emoji: hospital)",""
"fl-pf-017","proud","tự hào","feelings","flyers","🏆","trophy","⚠️ Cần xem lại (Tên emoji: trophy)",""
"fl-pf-018","shy","nhút nhát","feelings","flyers","🙈","see_no_evil","⚠️ Cần xem lại (Tên emoji: see no evil)",""
"fl-pf-019","upset","buồn bã / khó chịu","feelings","flyers","😢","cry","⚠️ Cần xem lại (Tên emoji: cry)",""
"fl-pf-020","worried","lo lắng","feelings","flyers","😟","worried","✅",""
"fl-pl-001","airport","sân bay","places","flyers","✈️","airplane","✅",""
"fl-pl-002","castle","lâu đài","places","flyers","🏰","european_castle","✅",""
"fl-pl-003","cave","hang động","places","flyers","🦇","bat","⚠️ Cần xem lại (Tên emoji: bat)",""
"fl-pl-004","circus","rạp xiếc","places","flyers","🎪","circus_tent","✅",""
"fl-pl-005","college","trường cao đẳng","places","flyers","🎓","mortar_board","⚠️ Cần xem lại (Tên emoji: mortar board)",""
"fl-pl-006","factory","nhà máy","places","flyers","🏭","factory","✅",""
"fl-pl-007","gallery","phòng trưng bày","places","flyers","🖼️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-pl-008","harbour","bến cảng","places","flyers","⚓","anchor","⚠️ Cần xem lại (Tên emoji: anchor)",""
"fl-pl-009","library","thư viện","places","flyers","📚","books","⚠️ Cần xem lại (Tên emoji: books)",""
"fl-pl-010","market","chợ","places","flyers","🛒","shopping_cart","⚠️ Cần xem lại (Tên emoji: shopping cart)",""
"fl-pl-011","museum","bảo tàng","places","flyers","🏛️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-pl-012","palace","cung điện","places","flyers","🏯","japanese_castle","⚠️ Cần xem lại (Tên emoji: japanese castle)",""
"fl-pl-013","pyramid","kim tự tháp","places","flyers","🔺","small_red_triangle","⚠️ Cần xem lại (Tên emoji: small red triangle)",""
"fl-pl-014","railway","đường sắt / ga tàu","places","flyers","🚂","steam_locomotive","⚠️ Cần xem lại (Tên emoji: steam locomotive)",""
"fl-pl-015","restaurant","nhà hàng","places","flyers","🍴","fork_and_knife","⚠️ Cần xem lại (Tên emoji: fork and knife)",""
"fl-pl-016","stadium","sân vận động","places","flyers","🏟️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-pl-017","supermarket","siêu thị","places","flyers","🛒","shopping_cart","⚠️ Cần xem lại (Tên emoji: shopping cart)",""
"fl-pl-018","theatre","nhà hát","places","flyers","🎭","performing_arts","⚠️ Cần xem lại (Tên emoji: performing arts)",""
"fl-pl-019","university","trường đại học","places","flyers","🎓","mortar_board","⚠️ Cần xem lại (Tên emoji: mortar board)",""
"fl-pl-020","zoo","vườn thú","places","flyers","🦁","lion","⚠️ Cần xem lại (Tên emoji: lion)",""
"fl-sc-001","art","nghệ thuật/mỹ thuật","school","flyers","🎨","art","✅",""
"fl-sc-002","backpack","ba lô","school","flyers","🎒","school_satchel","⚠️ Cần xem lại (Tên emoji: school satchel)",""
"fl-sc-003","bin","thùng rác","school","flyers","🗑️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-sc-004","club","câu lạc bộ","school","flyers","🏅","medal_sports","⚠️ Cần xem lại (Tên emoji: medal sports)",""
"fl-sc-005","college","trường cao đẳng","school","flyers","🎓","mortar_board","⚠️ Cần xem lại (Tên emoji: mortar board)",""
"fl-sc-006","competition","cuộc thi","school","flyers","🏆","trophy","⚠️ Cần xem lại (Tên emoji: trophy)",""
"fl-sc-007","dictionary","từ điển","school","flyers","📚","books","⚠️ Cần xem lại (Tên emoji: books)",""
"fl-sc-008","flag","lá cờ","school","flyers","🚩","triangular_flag_on_post","✅",""
"fl-sc-009","geography","môn địa lý","school","flyers","🌍","earth_africa","⚠️ Cần xem lại (Tên emoji: earth africa)",""
"fl-sc-010","glue","keo dán","school","flyers","🔧","wrench","⚠️ Cần xem lại (Tên emoji: wrench)",""
"fl-sc-011","group","nhóm","school","flyers","👥","busts_in_silhouette","⚠️ Cần xem lại (Tên emoji: busts in silhouette)",""
"fl-sc-012","gym","phòng tập thể dục","school","flyers","🏋️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-sp-001","badminton","cầu lông","sports","flyers","🏸","badminton","✅",""
"fl-sp-002","camping","cắm trại","sports","flyers","⛺","tent","⚠️ Cần xem lại (Tên emoji: tent)",""
"fl-sp-003","chess","cờ vua","sports","flyers","♟️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-sp-004","climbing","leo trèo / leo núi","sports","flyers","🧗","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-sp-005","cycling","đạp xe","sports","flyers","🚴","biking_man","⚠️ Cần xem lại (Tên emoji: biking man)",""
"fl-sp-006","gymnastics","thể dục dụng cụ","sports","flyers","🤸","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-sp-007","hiking","đi bộ đường dài","sports","flyers","🥾","hiking_boot","✅",""
"fl-sp-008","skiing","trượt tuyết","sports","flyers","⛷️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-sp-009","snowboarding","trượt ván tuyết","sports","flyers","🏂","snowboarder","✅",""
"fl-sp-010","surfing","lướt sóng","sports","flyers","🏄","surfing_man","✅",""
"fl-sp-011","concert","buổi hòa nhạc","sports","flyers","🎵","musical_note","⚠️ Cần xem lại (Tên emoji: musical note)",""
"fl-sp-012","competition","cuộc thi / giải đấu","sports","flyers","🏆","trophy","⚠️ Cần xem lại (Tên emoji: trophy)",""
"fl-sp-013","hobby","sở thích","sports","flyers","🎨","art","⚠️ Cần xem lại (Tên emoji: art)",""
"fl-sp-014","prize","giải thưởng","sports","flyers","🥇","1st_place_medal","⚠️ Cần xem lại (Tên emoji: 1st place medal)",""
"fl-sp-015","team","đội / nhóm","sports","flyers","👥","busts_in_silhouette","⚠️ Cần xem lại (Tên emoji: busts in silhouette)",""
"fl-tr-001","ambulance","xe cứu thương","transport","flyers","🚑","ambulance","✅",""
"fl-tr-002","bicycle","xe đạp","transport","flyers","🚲","bike","⚠️ Cần xem lại (Tên emoji: bike)",""
"fl-tr-003","fire engine","xe cứu hỏa","transport","flyers","🚒","fire_engine","✅",""
"fl-tr-004","journey","chuyến hành trình","transport","flyers","🧳","luggage","⚠️ Cần xem lại (Tên emoji: luggage)",""
"fl-tr-005","lift","thang máy","transport","flyers","🛗","","❌ (Hình thang máy - từ này còn nghĩa là nâng lên)",""
"fl-tr-006","motorway","đường cao tốc","transport","flyers","🛣️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-tr-007","passenger","hành khách","transport","flyers","💺","seat","❌ (Hình cái ghế ngồi)",""
"fl-tr-008","platform","sân ga","transport","flyers","🚉","station","⚠️ Cần xem lại (Tên emoji: station)",""
"fl-tr-009","racing","cuộc đua (xe)","transport","flyers","🏎️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-tr-010","railway","đường sắt","transport","flyers","🛤️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-tr-011","rocket","tên lửa","transport","flyers","🚀","rocket","✅",""
"fl-tr-012","spaceship","phi thuyền","transport","flyers","🛸","flying_saucer","⚠️ Cần xem lại (Tên emoji: flying saucer)",""
"fl-tm-001","century","thế kỷ","time","flyers","🕰️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-tm-002","decade","thập kỷ","time","flyers","📅","date","⚠️ Cần xem lại (Tên emoji: date)",""
"fl-tm-003","diary","nhật ký","time","flyers","📔","notebook_with_decorative_cover","⚠️ Cần xem lại (Tên emoji: notebook with decorative cover)",""
"fl-tm-004","fortnight","hai tuần","time","flyers","📅","date","⚠️ Cần xem lại (Tên emoji: date)",""
"fl-tm-005","midnight","nửa đêm","time","flyers","🌙","crescent_moon","⚠️ Cần xem lại (Tên emoji: crescent moon)",""
"fl-tm-006","month","tháng","time","flyers","📅","date","⚠️ Cần xem lại (Tên emoji: date)",""
"fl-tm-007","schedule","lịch trình","time","flyers","📅","date","⚠️ Cần xem lại (Tên emoji: date)",""
"fl-tm-008","season","mùa","time","flyers","🍂","fallen_leaf","⚠️ Cần xem lại (Tên emoji: fallen leaf)",""
"fl-tm-009","calendar","lịch","time","flyers","📅","date","⚠️ Cần xem lại (Tên emoji: date)",""
"fl-tm-010","weekend","cuối tuần","time","flyers","🎉","tada","⚠️ Cần xem lại (Tên emoji: tada)",""
"fl-aj-001","ancient","cổ đại / xưa","adjectives","flyers","🏺","amphora","⚠️ Cần xem lại (Tên emoji: amphora)",""
"fl-aj-002","bright","sáng / rực rỡ","adjectives","flyers","✨","sparkles","⚠️ Cần xem lại (Tên emoji: sparkles)",""
"fl-aj-003","comfortable","thoải mái","adjectives","flyers","😌","relieved","⚠️ Cần xem lại (Tên emoji: relieved)",""
"fl-aj-004","dangerous","nguy hiểm","adjectives","flyers","⚠️","warning","⚠️ Cần xem lại (Tên emoji: warning)",""
"fl-aj-005","delicious","ngon","adjectives","flyers","😋","yum","⚠️ Cần xem lại (Tên emoji: yum)",""
"fl-aj-006","empty","trống rỗng","adjectives","flyers","📭","mailbox_with_no_mail","⚠️ Cần xem lại (Tên emoji: mailbox with no mail)",""
"fl-aj-007","enormous","khổng lồ","adjectives","flyers","🐘","elephant","⚠️ Cần xem lại (Tên emoji: elephant)",""
"fl-aj-008","expensive","đắt tiền","adjectives","flyers","💰","moneybag","⚠️ Cần xem lại (Tên emoji: moneybag)",""
"fl-aj-009","famous","nổi tiếng","adjectives","flyers","⭐","star","⚠️ Cần xem lại (Tên emoji: star)",""
"fl-aj-010","fantastic","tuyệt vời","adjectives","flyers","🌟","star2","⚠️ Cần xem lại (Tên emoji: star2)",""
"fl-aj-011","important","quan trọng","adjectives","flyers","❗","exclamation","⚠️ Cần xem lại (Tên emoji: exclamation)",""
"fl-aj-012","lucky","may mắn","adjectives","flyers","🍀","four_leaf_clover","⚠️ Cần xem lại (Tên emoji: four leaf clover)",""
"fl-aj-013","wonderful","tuyệt diệu","adjectives","flyers","🌈","rainbow","⚠️ Cần xem lại (Tên emoji: rainbow)",""
"fl-vb-001","borrow","mượn","verbs","flyers","📤","outbox_tray","⚠️ Cần xem lại (Tên emoji: outbox tray)",""
"fl-vb-002","celebrate","kỷ niệm / ăn mừng","verbs","flyers","🎉","tada","⚠️ Cần xem lại (Tên emoji: tada)",""
"fl-vb-003","collect","sưu tập / thu thập","verbs","flyers","📦","package","⚠️ Cần xem lại (Tên emoji: package)",""
"fl-vb-004","describe","mô tả","verbs","flyers","🗣️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-vb-005","discover","khám phá","verbs","flyers","🔍","mag","⚠️ Cần xem lại (Tên emoji: mag)",""
"fl-vb-006","explain","giải thích","verbs","flyers","💬","speech_balloon","⚠️ Cần xem lại (Tên emoji: speech balloon)",""
"fl-vb-007","improve","cải thiện","verbs","flyers","📈","chart_with_upwards_trend","⚠️ Cần xem lại (Tên emoji: chart with upwards trend)",""
"fl-vb-008","invite","mời","verbs","flyers","💌","love_letter","⚠️ Cần xem lại (Tên emoji: love letter)",""
"fl-vb-009","lend","cho mượn","verbs","flyers","🤝","handshake","⚠️ Cần xem lại (Tên emoji: handshake)",""
"fl-vb-010","miss","nhớ / lỡ","verbs","flyers","💔","broken_heart","⚠️ Cần xem lại (Tên emoji: broken heart)",""
"fl-vb-011","prefer","thích hơn","verbs","flyers","❤️","heart","⚠️ Cần xem lại (Tên emoji: heart)",""
"fl-vb-012","prepare","chuẩn bị","verbs","flyers","📋","clipboard","⚠️ Cần xem lại (Tên emoji: clipboard)",""
"fl-vb-013","spend","tiêu / dành thời gian","verbs","flyers","💸","money_with_wings","⚠️ Cần xem lại (Tên emoji: money with wings)",""
"fl-vb-014","suggest","đề nghị / gợi ý","verbs","flyers","💡","bulb","⚠️ Cần xem lại (Tên emoji: bulb)",""
"fl-vb-015","travel","đi du lịch / di chuyển","verbs","flyers","✈️","airplane","⚠️ Cần xem lại (Tên emoji: airplane)",""
"fl-oc-001","architect","kiến trúc sư","people","flyers","🏗️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-oc-002","chef","đầu bếp","people","flyers","👨‍🍳","man_cook","⚠️ Cần xem lại (Tên emoji: man cook)",""
"fl-oc-003","dentist","nha sĩ","people","flyers","🦷","tooth","⚠️ Cần xem lại (Tên emoji: tooth)",""
"fl-oc-004","engineer","kỹ sư","people","flyers","⚙️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-oc-005","farmer","nông dân","people","flyers","🌾","ear_of_rice","⚠️ Cần xem lại (Tên emoji: ear of rice)",""
"fl-oc-006","firefighter","lính cứu hỏa","people","flyers","🚒","fire_engine","⚠️ Cần xem lại (Tên emoji: fire engine)",""
"fl-oc-007","guide","hướng dẫn viên","people","flyers","🗺️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"fl-oc-008","journalist","nhà báo","people","flyers","📰","newspaper","⚠️ Cần xem lại (Tên emoji: newspaper)",""
"fl-oc-009","librarian","thủ thư","people","flyers","📚","books","⚠️ Cần xem lại (Tên emoji: books)",""
"fl-oc-010","nurse","y tá","people","flyers","👩‍⚕️","woman_health_worker","⚠️ Cần xem lại (Tên emoji: woman health worker)",""
"fl-oc-011","passenger","hành khách","people","flyers","🧑‍✈️","","❌ (Hình cái ghế ngồi)",""
"fl-oc-012","photographer","nhiếp ảnh gia","people","flyers","📸","camera_flash","⚠️ Cần xem lại (Tên emoji: camera flash)",""
"fl-oc-013","pilot","phi công","people","flyers","✈️","airplane","⚠️ Cần xem lại (Tên emoji: airplane)",""
"fl-oc-014","scientist","nhà khoa học","people","flyers","🔬","microscope","⚠️ Cần xem lại (Tên emoji: microscope)",""
"fl-oc-015","vet","bác sĩ thú y","people","flyers","🐾","paw_prints","⚠️ Cần xem lại (Tên emoji: paw prints)",""
"st-an-001","animal","con vật / động vật","animals","starters","🐾","paw_prints","⚠️ Cần xem lại (Tên emoji: paw prints)",""
"st-an-002","bear","con gấu","animals","starters","🐻","bear","✅",""
"st-an-003","bee","con ong","animals","starters","🐝","honeybee","✅",""
"st-an-004","bird","con chim","animals","starters","🐦","bird","✅",""
"st-an-005","cat","con mèo","animals","starters","🐱","cat","✅",""
"st-an-006","chicken","con gà","animals","starters","🐔","chicken","✅",""
"st-an-007","cow","con bò","animals","starters","🐄","cow2","✅",""
"st-an-008","dog","con chó","animals","starters","🐶","dog","✅",""
"st-an-009","donkey","con lừa","animals","starters","🫏","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"st-an-010","duck","con vịt","animals","starters","🦆","duck","✅",""
"st-an-011","elephant","con voi","animals","starters","🐘","elephant","✅",""
"st-an-012","fish","con cá","animals","starters","🐟","fish","✅",""
"st-an-013","frog","con ếch","animals","starters","🐸","frog","✅",""
"st-an-014","giraffe","con hươu cao cổ","animals","starters","🦒","giraffe","✅",""
"st-an-015","goat","con dê","animals","starters","🐐","goat","✅",""
"st-an-016","hippo","con hà mã","animals","starters","🦛","hippopotamus","✅",""
"st-an-017","horse","con ngựa","animals","starters","🐴","horse","✅",""
"st-an-018","lizard","con thằn lằn","animals","starters","🦎","lizard","✅",""
"st-an-019","monkey","con khỉ","animals","starters","🐒","monkey","✅",""
"st-an-020","mouse","con chuột","animals","starters","🐭","mouse","✅",""
"st-an-021","pet","thú cưng","animals","starters","🐾","paw_prints","⚠️ Cần xem lại (Tên emoji: paw prints)",""
"st-an-022","polar bear","gấu Bắc Cực","animals","starters","🐻‍❄️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"st-an-023","sheep","con cừu","animals","starters","🐑","sheep","✅",""
"st-an-024","snake","con rắn","animals","starters","🐍","snake","✅",""
"st-an-025","spider","con nhện","animals","starters","🕷️","","⚠️ Cần xem lại (Không xác định được tên emoji)",""
"st-an-026","tail","đuôi","animals","starters","🐕","dog2","⚠️ Cần xem lại (Tên emoji: dog2)",""
"st-an-027","tiger","con hổ","animals","starters","🐯","tiger","✅",""
"st-an-028","zebra","con ngựa vằn","animals","starters","🦓","zebra","✅",""
"st-an-029","zoo","vườn thú","animals","starters","🎡","ferris_wheel","⚠️ Cần xem lại (Tên emoji: ferris wheel)",""
